2022-07-26 12:29:26,575 - lan_type=fa        |query=war                 |tweet_count=20        |
2022-07-26 12:29:26,584 - lan_type=fi        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:26,594 - lan_type=es        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:26,597 - lan_type=hi        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:26,611 - lan_type=hi        |query=russia              |tweet_count=20        |
2022-07-26 12:29:26,614 - lan_type=no        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:26,621 - lan_type=cs        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:26,626 - lan_type=fi        |query=war                 |tweet_count=20        |
2022-07-26 12:29:26,632 - lan_type=en        |query=russia              |tweet_count=20        |
2022-07-26 12:29:26,644 - lan_type=hu        |query=war                 |tweet_count=20        |
2022-07-26 12:29:26,648 - lan_type=da        |query=russia              |tweet_count=20        |
2022-07-26 12:29:26,667 - lan_type=sv        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:26,695 - lan_type=no        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,096 - lan_type=fr        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,139 - lan_type=ur        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,144 - lan_type=ur        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,157 - lan_type=th        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,159 - lan_type=fa        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,162 - lan_type=th        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,169 - lan_type=id        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,172 - lan_type=zh-tw     |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,173 - lan_type=es        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,175 - lan_type=fr        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,177 - lan_type=nl        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,179 - lan_type=fr        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,180 - lan_type=en        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,181 - lan_type=no        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,187 - lan_type=ko        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,192 - lan_type=fil       |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,195 - lan_type=es        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,201 - lan_type=pt        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,201 - lan_type=ru        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,207 - lan_type=bn        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,209 - lan_type=sv        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,209 - lan_type=pt        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,217 - lan_type=pl        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,217 - lan_type=fi        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,218 - lan_type=hu        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,222 - lan_type=th        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,224 - lan_type=hi        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,227 - lan_type=pt        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,230 - lan_type=de        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,230 - lan_type=hi        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,233 - lan_type=ro        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,233 - lan_type=fr        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,236 - lan_type=it        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,236 - lan_type=ar        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,237 - lan_type=bn        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,237 - lan_type=tr        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,244 - lan_type=pl        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,245 - lan_type=nl        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,247 - lan_type=uk        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,248 - lan_type=sv        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,251 - lan_type=it        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,251 - lan_type=zh-cn     |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,258 - lan_type=ar        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,259 - lan_type=ro        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,262 - lan_type=ja        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,263 - lan_type=cs        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,268 - lan_type=ro        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,264 - lan_type=hi        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,269 - lan_type=el        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,270 - lan_type=pt        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,271 - lan_type=msa       |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,276 - lan_type=ko        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,278 - lan_type=sv        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,280 - lan_type=pt        |query=bts                 |tweet_count=17        |
2022-07-26 12:29:27,283 - lan_type=ja        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,284 - lan_type=ur        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,284 - lan_type=ru        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,286 - lan_type=ja        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,286 - lan_type=en        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,286 - lan_type=fa        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,290 - lan_type=ru        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,293 - lan_type=sv        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,294 - lan_type=msa       |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,295 - lan_type=hu        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,298 - lan_type=fi        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,299 - lan_type=de        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,301 - lan_type=he        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,303 - lan_type=da        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,304 - lan_type=zh-cn     |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,306 - lan_type=fil       |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,307 - lan_type=ur        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,308 - lan_type=id        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,314 - lan_type=el        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,316 - lan_type=vi        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,316 - lan_type=id        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,317 - lan_type=ro        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,317 - lan_type=ur        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,319 - lan_type=uk        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,319 - lan_type=fil       |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,321 - lan_type=fr        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,322 - lan_type=es        |query=bts                 |tweet_count=17        |
2022-07-26 12:29:27,325 - lan_type=ru        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,326 - lan_type=ko        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,327 - lan_type=msa       |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,328 - lan_type=fa        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,329 - lan_type=pl        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,332 - lan_type=pl        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,332 - lan_type=vi        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,334 - lan_type=fi        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,343 - lan_type=bn        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,344 - lan_type=msa       |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,344 - lan_type=fil       |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,345 - lan_type=zh-tw     |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,348 - lan_type=it        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,348 - lan_type=hi        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,350 - lan_type=nl        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,351 - lan_type=fil       |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,351 - lan_type=tr        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,355 - lan_type=da        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,355 - lan_type=he        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,357 - lan_type=de        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,359 - lan_type=it        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,362 - lan_type=zh-cn     |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,365 - lan_type=zh-tw     |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,366 - lan_type=en        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,371 - lan_type=bn        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,373 - lan_type=zh-cn     |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,375 - lan_type=cs        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,377 - lan_type=en        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,378 - lan_type=de        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,378 - lan_type=ar        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,380 - lan_type=zh-tw     |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,380 - lan_type=fa        |query=war                 |tweet_count=23        |
2022-07-26 12:29:27,381 - lan_type=tr        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,378 - lan_type=th        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,384 - lan_type=tr        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,387 - lan_type=hu        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,387 - lan_type=no        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,388 - lan_type=msa       |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,390 - lan_type=id        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,390 - lan_type=ar        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,391 - lan_type=vi        |query=Putin               |tweet_count=20        |
2022-07-26 12:29:27,393 - lan_type=da        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,394 - lan_type=zh-tw     |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,393 - lan_type=es        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,395 - lan_type=es        |query=ukraine             |tweet_count=20        |
2022-07-26 12:29:27,395 - lan_type=he        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,396 - lan_type=pl        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,393 - lan_type=cs        |query=bts                 |tweet_count=18        |
2022-07-26 12:29:27,398 - lan_type=vi        |query=war                 |tweet_count=20        |
2022-07-26 12:29:27,398 - lan_type=el        |query=russia              |tweet_count=20        |
2022-07-26 12:29:27,401 - lan_type=he        |query=Putin               |tweet_count=20        |
